X,Y,Z
-2.61,5.28,1.34
-2.62,5.33,1.33
-2.62,5.37,1.35
-2.6,5.39,1.34
-2.59,5.43,1.37
-2.58,5.45,1.41
-2.62,5.54,1.39
-2.65,5.61,1.33
-2.65,5.66,1.32
-2.61,5.68,1.41
-2.58,5.72,1.38
-2.56,5.76,1.39
-2.56,5.77,1.46
-2.51,5.83,1.45
-2.52,5.87,1.42
-2.5,5.92,1.36
-2.49,5.94,1.36
-2.49,5.95,1.32
-2.51,5.97,1.37
-2.51,5.99,1.35
-2.51,6,1.35
-2.5,6,1.36
-2.49,5.99,1.33
-2.47,6,1.31
-2.46,5.98,1.38
-2.42,5.98,1.36
-2.41,5.96,1.32
-2.4,5.97,1.32
-2.34,5.96,1.33
-2.31,5.96,1.37
-2.29,5.95,1.34
-2.32,5.98,1.39
-2.32,5.99,1.38
-2.32,6.02,1.33
-2.28,5.99,1.37
-2.16,5.96,1.42
-2.08,6.01,1.44
-2.06,5.97,1.43
-2.04,5.98,1.4
-1.99,5.95,1.43
-1.91,5.89,1.41
-1.96,5.99,1.41
-1.98,6.04,1.45
-1.94,6.03,1.41
-1.87,5.97,1.44
-1.8,5.93,1.44
-1.7,5.97,1.35
-1.63,5.96,1.35
-1.57,5.94,1.38
-1.55,5.92,1.37
-1.53,5.89,1.36
-1.43,5.88,1.33
-1.41,5.8,1.39
-1.38,5.77,1.47
-1.34,5.73,1.42
-1.3,5.69,1.4
-1.27,5.69,1.41
-1.3,5.7,1.35
-1.24,5.68,1.32
-1.23,5.69,1.29
-1.21,5.7,1.29
-1.12,5.65,1.31
-1.16,5.71,1.28
-1.05,5.66,1.34
-1.02,5.67,1.35
-0.95,5.75,1.31
-0.95,5.77,1.3
-0.94,5.78,1.29
-0.93,5.79,1.29
-0.93,5.79,1.3
-0.92,5.81,1.32
-0.9,5.82,1.34
-0.87,5.85,1.31
-0.89,5.81,1.34
-0.88,5.83,1.34
-0.87,5.8,1.39
-0.89,5.8,1.38
-0.86,5.75,1.35
-0.91,5.76,1.25
-0.9,5.72,1.3
-0.91,5.72,1.31
-0.88,5.69,1.32
-0.9,5.67,1.21
-0.84,5.65,1.22
-0.81,5.63,1.28
-0.77,5.63,1.32
-0.77,5.61,1.34
-0.79,5.6,1.36
-0.79,5.57,1.36
-0.77,5.56,1.32
-0.78,5.57,1.35
-0.79,5.58,1.32
-0.88,5.66,1.31
-0.94,5.75,1.31
-1.03,5.75,1.35
-1.08,5.75,1.39
-1.06,5.72,1.46
-1.02,5.66,1.5
-1.01,5.65,1.48
-1.01,5.59,1.42
-0.98,5.55,1.37
-0.98,5.51,1.41
-0.97,5.48,1.36
-0.97,5.44,1.31
-1.01,5.44,1.3
-0.99,5.39,1.29
-0.98,5.34,1.26
-0.98,5.28,1.31
-0.96,5.2,1.29
-0.96,5.15,1.29
-0.93,5.09,1.25
-0.91,5.03,1.27
-0.91,4.93,1.38
-0.79,4.8,1.4
-0.78,4.74,1.44
-0.89,4.78,1.46
-0.99,4.81,1.45
-1.05,4.85,1.39
-1.13,4.83,1.44
-1.17,4.83,1.36
-1.21,4.78,1.4
-1.25,4.76,1.42
-1.26,4.71,1.43
-1.3,4.67,1.35
-1.3,4.63,1.33
-1.25,4.53,1.28
-1.23,4.45,1.23
-1.25,4.45,1.3
-1.28,4.4,1.26
-1.33,4.36,1.27
-1.38,4.3,1.26
-1.39,4.28,1.26
-1.32,4.19,1.26
-1.35,4.17,1.23
-1.36,4.15,1.19
-1.42,4.08,1.15
-1.41,4.05,1.12
-1.41,4,1.21
-1.42,3.98,1.18
-1.39,3.97,1.16
-1.4,3.94,1.19
-1.42,3.9,1.14
-1.44,3.87,1.21
-1.5,3.8,1.19
-1.49,3.77,1.16
-1.47,3.76,1.19
-1.48,3.74,1.17
-1.5,3.7,1.23
-1.51,3.68,1.22
-1.51,3.67,1.28
-1.57,3.62,1.26
-1.6,3.57,1.16
-1.56,3.56,1.13
-1.6,3.53,1.18
-1.58,3.51,1.2
-1.57,3.51,1.32
-1.56,3.5,1.33
-1.54,3.5,1.27
-1.54,3.49,1.24
-1.54,3.49,1.25
-1.51,3.5,1.3
-1.49,3.49,1.25
-1.49,3.49,1.22
-1.48,3.48,1.33
-1.45,3.47,1.29
-1.5,3.43,1.25
-1.55,3.41,1.21
-1.59,3.38,1.18
-1.54,3.39,1.17
-1.5,3.42,1.23
-1.47,3.44,1.24
-1.5,3.44,1.29
-1.52,3.41,1.18
-1.6,3.41,1.15
-1.6,3.45,1.21
-1.61,3.48,1.3
-1.6,3.5,1.26
-1.62,3.52,1.28
-1.62,3.54,1.26
-1.63,3.57,1.23
-1.65,3.56,1.3
-1.65,3.56,1.3
-1.69,3.57,1.3
-1.9,3.47,1.22
-1.88,3.51,1.25
-1.91,3.55,1.26
-1.96,3.6,1.29
-1.96,3.61,1.37
-2.01,3.64,1.33
-2.08,3.68,1.26
-2.18,3.73,1.32
-2.24,3.75,1.27
-2.26,3.75,1.29
-2.32,3.77,1.24
-2.4,3.78,1.21
-2.47,3.79,1.18
-2.46,3.7,1.14
-2.44,3.67,1.21
-2.42,3.65,1.25
-2.53,3.73,1.25
-2.52,3.73,1.34
-2.5,3.71,1.44
-2.48,3.7,1.34
-2.5,3.68,1.28
-2.52,3.67,1.25
-2.53,3.69,1.26
-2.55,3.7,1.29
-2.56,3.7,1.26
-2.56,3.71,1.26
-2.56,3.72,1.32
-2.59,3.7,1.35
-2.62,3.71,1.29
-2.65,3.72,1.26
-2.66,3.72,1.3
-2.65,3.69,1.31
-2.64,3.67,1.31
-2.64,3.66,1.37
-2.64,3.65,1.4
-2.64,3.65,1.35
-2.6,3.66,1.35
-2.61,3.66,1.33
-2.61,3.68,1.34
-2.64,3.67,1.28
-2.63,3.69,1.36
-2.65,3.72,1.32
-2.65,3.72,1.27
-2.68,3.76,1.28
-2.7,3.79,1.27
-2.69,3.79,1.26
-2.7,3.81,1.25
-2.7,3.84,1.26
-2.7,3.88,1.28
-2.69,3.92,1.33
-2.66,3.92,1.27
-2.63,3.96,1.37
-2.63,4.02,1.31
-2.63,4.09,1.29
-2.62,4.15,1.26
-2.62,4.2,1.24
-2.61,4.24,1.23
-2.61,4.27,1.21
-2.62,4.31,1.21
-2.63,4.37,1.32
-2.61,4.41,1.42
-2.61,4.48,1.38
-2.6,4.52,1.42
-2.6,4.59,1.36
-2.6,4.66,1.34
-2.63,4.73,1.28
-2.62,4.79,1.32
-2.61,4.84,1.3
-2.6,4.86,1.25
-2.53,4.91,1.3
-2.53,4.93,1.39
-2.51,4.98,1.38
-2.5,5.02,1.39
-2.5,5.1,1.36
-2.48,5.15,1.4
-2.46,5.2,1.42
-2.45,5.24,1.45
-2.45,5.29,1.45
-2.43,5.34,1.5
-2.43,5.39,1.51
-2.43,5.43,1.49
-2.42,5.47,1.44
-2.41,5.53,1.43
-2.4,5.59,1.39
-2.42,5.62,1.35
-2.45,5.68,1.36
-2.45,5.72,1.34
-2.46,5.76,1.32
-2.43,5.77,1.42
-2.42,5.79,1.37
-2.41,5.8,1.35
-2.39,5.84,1.4
-2.35,5.9,1.37
-2.36,5.89,1.39
-2.33,5.94,1.39
