Anchor1,Anchor2,Anchor3,Anchor4
2.51,3.11,4.57,3.79
2.4,3.11,4.48,3.76
2.42,3.11,4.48,3.73
2.49,3.09,4.48,3.8
2.47,3.04,4.51,3.8
2.43,3.05,4.84,3.93
2.46,2.96,4.82,3.91
2.45,2.94,4.61,3.95
2.48,3.03,4.52,3.96
2.48,3,4.57,3.92
2.42,2.99,4.82,3.89
2.49,2.99,4.74,3.86
2.46,2.97,4.68,3.88
2.56,2.97,4.66,3.9
2.42,2.93,4.65,3.94
2.49,2.98,4.58,3.89
2.45,2.94,4.7,3.95
2.48,2.97,4.95,3.91
2.39,2.91,5.06,3.86
2.45,2.9,5.01,3.9
2.46,2.87,5.12,3.79
2.5,2.91,5.1,3.85
2.58,2.88,5.08,3.72
2.58,2.81,4.91,3.76
2.74,2.74,5.06,3.77
2.79,2.78,5.04,3.68
2.81,2.7,5,3.62
2.87,2.73,5.01,3.51
2.9,2.73,4.76,3.47
2.98,2.68,4.86,3.47
3.07,2.67,4.97,3.41
3.1,2.57,4.9,3.39
3.13,2.52,5.6,3.3
3.2,2.37,4.87,3.25
3.26,2.37,5.55,3.3
3.26,2.27,5.57,3.15
3.32,2.28,5.35,3.06
3.33,2.19,5.35,3.01
3.31,2.23,5.5,3.05
3.38,2.15,5.47,3.01
3.46,2.14,5.52,2.97
3.47,2.12,5.58,2.98
3.56,2.02,5.52,2.92
3.62,2.03,5.95,2.85
3.62,2.03,5.94,2.8
3.7,1.99,5.95,2.75
3.74,1.87,6.03,2.76
3.84,1.84,6.16,2.72
3.82,1.81,6.22,2.71
3.86,1.85,5.86,2.73
3.86,1.71,5.64,2.63
3.89,1.64,5.83,2.64
3.93,1.69,5.95,2.63
4,1.62,5.99,2.59
4.04,1.63,6.05,2.56
4.13,1.63,6.03,2.49
4.13,1.62,6.08,2.48
4.23,1.62,6.12,2.41
4.19,1.59,6.2,2.43
4.26,1.57,6.24,2.35
4.24,1.54,6.45,2.34
4.35,1.57,6.42,2.37
4.38,1.59,6.54,2.38
4.29,1.53,6.59,2.31
4.37,1.44,6.46,2.32
4.34,1.47,6.07,2.35
