Input1,Input2,Input3,Input4
4.12,3.47,4.98,3.79
4.12,3.92,4.93,4.02
4.06,3.53,4.83,6.37
4.09,3.3,4.79,6.27
3.5,3.32,4.36,4.99
3.45,6.92,4.01,4.53
3.11,7.26,3.97,4.45
3.39,5.24,3.91,5.26
3.26,5.85,3.9,4.45
3.13,6.27,3.9,5.28
2.78,4.02,3.86,5.24
2.75,6.65,3.82,5.57
2.78,4.22,3.8,4.86
2.74,6.94,3.86,6.5
2.74,6.75,3.88,4.86
2.74,5.73,3.84,5.94
2.13,7.49,3.41,7.61
2.14,6.17,3.4,8.13
2.07,8.64,3.33,5.54
3.56,5.35,2.37,4.89
3.31,5.31,2.28,4.83
5.58,5.33,1.97,4.79
5.72,5.33,1.92,4.72
3.76,5.39,1.84,4.8
4.28,4.43,3.59,3.25
4.46,4.22,3.81,3.19
4.61,4.24,3.72,3.15
5.61,3.39,4.69,2.38
5.24,3.11,4.7,3.36
5.33,3.19,4.65,3.4
5.19,3.1,4.65,3.63
5.18,3.15,4.66,3.4
5.08,3.11,4.63,3.42
5.19,3.1,4.72,3.07
5.13,3.11,4.66,3.08
5.19,3.08,4.63,3.34
5.22,3.01,4.75,2.28
5.2,2.9,4.81,2.42
5.23,2.92,4.85,2.38
5.32,2.91,4.96,2.46
5.3,2.87,4.99,2.31
5.3,2.84,5.02,2.37
4.92,2.62,4.94,2.81
4.99,2.63,4.9,2.88
5.55,2.36,4.97,3.78
5.28,2.43,5.08,2.96
5.34,2.3,5.17,2.97
4.34,2.22,5.03,4.4
2.39,4.76,3.04,5.48
2.25,4.77,3,5.51
2.31,4.83,2.96,5.35
2.4,4.83,3,5.34
2.45,4.91,2.93,5.37
2.57,4.94,2.87,5.29
2.3,4.94,2.75,5.24
2.2,4.98,2.89,5.31
2.45,5.03,2.84,5.24
2.44,5.01,2.72,5.27
2.35,5.04,2.87,5.32
3.93,4.83,3.55,3.9
3.92,4.81,3.8,3.84
4,4.74,3.32,3.78
4.03,4.75,2.98,3.71
4.03,4.64,3.03,3.71
5.9,3.64,5.82,2.43
5.22,3.68,6.16,2.43
5.34,3.77,6.01,2.49
5.41,3.58,4.45,2.15
2.02,6.37,3.58,7.25
1.99,6.35,3.38,7.19
2.02,8.72,3.39,6.96
2.03,6.08,3.41,8.6
1.98,6.16,3.4,8.34
1.92,6.19,3.34,6.45
1.88,8.03,3.33,7.57
1.85,7.87,3.39,7.47
1.9,8.72,3.48,6.84
1.81,7.65,3.46,6.74
1.86,7.05,3.49,6.73
1.85,8.27,3.44,6.72
1.87,6.94,3.41,6.59
1.92,8.15,3.4,6.53
1.82,7.36,3.38,5.6
1.7,6.69,3.31,5.62
3.98,5.15,2.48,5.11
3.79,4.95,2.35,5.01
3.81,7.53,2.35,4.98
2.96,6.36,2.34,4.9
2.71,7.58,2.33,5.01
4.57,7.28,2.33,4.98
2.88,7.41,2.23,4.98
2.93,6.53,2.21,4.97
3.29,7.38,2.14,4.98
5.16,7.21,1.91,4.9
5.49,7.05,1.86,4.84
5.52,7.08,1.92,4.94
5.45,7.12,1.92,4.92
5.43,6.89,1.88,4.97
4.47,6.53,1.86,5.12
5.31,5.47,1.77,4.79
5.23,5.58,1.75,4.82
5.21,5.54,1.78,4.81
5.2,5.67,1.81,4.76
4.59,5.28,2.3,4.38
4.44,5.26,2.32,4.36
4.14,5.28,2.32,4.4
3.58,5.23,2.62,4.38
6.04,3.83,5.02,2.56
5.16,2.62,4.92,4.56
5.18,2.53,5.02,3.08
5.08,2.5,4.97,3.57
4.99,2.62,5.05,3.66
4.97,2.6,5,2.68
4.92,2.57,5.05,2.75
4.91,2.5,5.05,2.73
4.91,2.5,5.14,2.71
5.37,4.6,4.46,2.21
2.02,5.02,3.07,5.52
5.12,4.39,4.26,2.18
5.74,4.09,4.32,2.11
5.89,3.89,4.41,1.94
5.64,4.18,4.83,1.86
5.63,4.26,4.88,1.85
5.71,4.13,4.82,1.86
5.75,4.05,5.2,1.85
5.33,4.55,4.57,2.34
4.94,1.64,5.75,3.99
4.97,1.67,5.72,4.48
4.97,1.62,5.79,3.87
4.96,1.68,5.54,3.53
4.78,1.75,5.67,4.36
4.81,1.82,5.56,3.65
1.63,4.96,3.35,5.85
4.95,5.71,1.57,4.9
5.14,5.71,1.66,4.8
3.36,3.46,4.13,4.68
3.32,3.54,4.13,4.77
3.29,3.53,4.1,4.76
3.29,3.59,4.08,4.79
3.36,3.59,4.05,4.83
3.04,3.7,4.09,4.73
5.23,2.9,4.57,2.15
3.24,3.54,4.35,4.83
5.64,4.92,4.25,2.25
5.16,4.67,4.3,2.17
4.03,4.83,2.75,3.66
4.58,3.94,3.83,2.82
4.68,3.76,3.92,2.7
4.71,3.81,3.95,2.88
5.09,2.65,5.12,2.28
4.8,3.28,4.99,2.82
4.81,2.45,5.71,2.84
1.78,4.64,4.05,5.72
1.75,5.28,3.82,5.64
1.66,5.5,3.72,5.72
1.7,4.86,3.69,5.67
1.73,5,3.59,5.58
1.69,4.9,3.01,5.66
2.28,5.2,2.25,5.35
2.29,5.27,2.3,5.32
2.37,5.22,2.15,5.21
5.43,3.65,4.28,2.22
4.01,4.85,2.74,3.56
4,4.79,2.77,3.55
4.23,4.6,2.92,3.47
5.1,4.42,4.24,2.28
5.64,2.68,5.18,2.16
4.85,1.99,5.26,3.64
4.81,2.05,5.26,3.33
4.78,1.98,5.28,3.34
4.87,1.99,5.27,3.38
5.15,3.74,4.32,2.82
5.14,3.74,4.39,2.79
5.14,3.73,4.28,2.44
5.12,3.77,4.26,2.39
5.07,3.56,4.31,2.4
5.13,3.6,4.54,2.34
5.06,3.52,4.53,2.29
5.06,3.39,4.52,2.25
5.13,3.61,4.53,2.37
5.14,3.54,4.45,2.21
5.1,3.53,4.49,2.09
5.33,2.85,4.9,2.32
3.13,3.42,4.28,4.94
2,4.85,3.2,5.4
2,4.83,3.17,5.33
1.96,4.88,3.21,5.33
4.6,4.45,3.46,2.85
4.62,4.27,3.44,2.8
4.75,4.18,3.68,2.77
4.66,1.74,5.59,4.47
4.73,1.78,5.47,4.2
3.64,2.72,4.81,4.33
3.61,2.77,4.68,4.31
3.53,2.81,4.7,4.66
3.53,2.77,4.79,4.86
3.53,2.89,4.83,4.97
3.46,2.96,4.61,5.34
3.44,3.02,4.53,5.64
3.37,3.15,4.5,4.91
3.32,3.07,4.52,4.43
3.25,3.07,4.56,4.46
3.22,3.22,4.44,4.59
3.13,3.25,4.42,4.85
3.1,3.32,4.32,4.96
3.01,3.34,4.25,4.62
2.98,3.45,4.24,4.75
3.04,3.45,4.22,4.72
2.9,3.51,4.21,4.91
3.02,5.57,1.64,5.18
3.3,5.64,1.67,4.92
3.24,5.7,1.63,4.78
3.37,5.8,1.64,4.83
